command_oneof,result_oneof,controller_method,capability,validator_group,response_kind,terminal_response
cancel_operation,acknowledge,CancelOperation,API_CAPABILITY_OPERATION_CANCELLATION,operation,ack,false
release_resource,acknowledge,ReleaseResource,API_CAPABILITY_RESOURCE_LIFECYCLE,resource,ack,false
terminal_defaults,terminal_defaults,TerminalDefaults,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,value,false
terminal_create,terminal_create,TerminalCreate,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,value,false
terminal_list,terminal_list,TerminalList,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,value,false
terminal_get,terminal_get,TerminalGet,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,value,false
terminal_restart,acknowledge,TerminalRestart,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,ack,false
terminal_kill,acknowledge,TerminalKill,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,ack,false
terminal_remove,acknowledge,TerminalRemove,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,ack,false
terminal_set_metadata,acknowledge,TerminalSetMetadata,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,ack,false
terminal_set_tags,acknowledge,TerminalSetTags,API_CAPABILITY_TERMINAL_LIFECYCLE,terminal,ack,false
terminal_attach,terminal_attach,TerminalAttach,API_CAPABILITY_TERMINAL_ATTACHMENT,terminal,transaction,false
terminal_detach,acknowledge,TerminalDetach,API_CAPABILITY_TERMINAL_ATTACHMENT,terminal,ack,false
terminal_input,acknowledge,TerminalInput,API_CAPABILITY_TERMINAL_ATTACHMENT,terminal,ack,false
terminal_resize,terminal_resize,TerminalResize,API_CAPABILITY_TERMINAL_ATTACHMENT,terminal,value,false
terminal_resize_lock,terminal_resize,TerminalResizeLock,API_CAPABILITY_TERMINAL_ATTACHMENT,terminal,value,false
path_list_directories,path_list_directories,PathListDirectories,API_CAPABILITY_PATH_QUERY,terminal,value,false
history_window,history_window,HistoryWindow,API_CAPABILITY_HISTORY,history_live,value,true
history_copy,history_copy,HistoryCopy,API_CAPABILITY_HISTORY,history_live,value,false
history_release,acknowledge,HistoryRelease,API_CAPABILITY_HISTORY,history_live,ack,false
history_backlog_status,history_backlog_status,HistoryBacklogStatus,API_CAPABILITY_HISTORY,history_live,value,false
live_screen_next,live_screen,LiveScreenNext,API_CAPABILITY_LIVE_SCREEN,history_live,value,false
history_search,history_search,HistorySearch,API_CAPABILITY_HISTORY,history_live,value,false
event_subscribe,event_subscription,EventSubscribe,API_CAPABILITY_EVENT_SUBSCRIPTION,event,value,true
file_list,file_list,FileList,API_CAPABILITY_FILE,file_storage,value,false
file_stat,file_stat,FileStat,API_CAPABILITY_FILE,file_storage,value,false
file_preview,file_preview,FilePreview,API_CAPABILITY_FILE,file_storage,value,false
file_mkdir,file_operation,FileMkdir,API_CAPABILITY_FILE,file_storage,value,false
file_rename,file_operation,FileRename,API_CAPABILITY_FILE,file_storage,value,false
file_delete,file_operation,FileDelete,API_CAPABILITY_FILE,file_storage,value,false
file_copy,file_batch,FileCopy,API_CAPABILITY_FILE,file_storage,value,false
file_move,file_batch,FileMove,API_CAPABILITY_FILE,file_storage,value,false
file_download_open,file_transfer_open,FileDownloadOpen,API_CAPABILITY_FILE,file_storage,value,true
file_upload_open,file_transfer_open,FileUploadOpen,API_CAPABILITY_FILE,file_storage,value,true
file_transfer_cancel,file_transfer_cancel,FileTransferCancel,API_CAPABILITY_FILE,file_storage,value,false
storage_get,storage_get,StorageGet,API_CAPABILITY_STORAGE,file_storage,value,false
storage_put,storage_put,StoragePut,API_CAPABILITY_STORAGE,file_storage,value,false
storage_delete,storage_delete,StorageDelete,API_CAPABILITY_STORAGE,file_storage,value,false
storage_list,storage_list,StorageList,API_CAPABILITY_STORAGE,file_storage,value,false
client_access_identity,client_access_identity,ClientAccessIdentity,API_CAPABILITY_CLIENT_ACCESS,access_remote,value,false
client_access_list,client_access_list,ClientAccessList,API_CAPABILITY_CLIENT_ACCESS,access_remote,value,false
client_access_ticket_create,client_access_ticket_create,ClientAccessTicketCreate,API_CAPABILITY_CLIENT_ACCESS,access_remote,value,false
client_access_revoke,client_access_revoke,ClientAccessRevoke,API_CAPABILITY_CLIENT_ACCESS,access_remote,value,false
remote_status,remote_status,RemoteStatus,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_pair_start,remote_pair_start,RemotePairStart,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_local_enable,remote_local_status,RemoteLocalEnable,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_local_status,remote_local_status,RemoteLocalStatus,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_local_disable,remote_local_status,RemoteLocalDisable,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_cloud_edges,remote_cloud_edges,RemoteCloudEdges,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_cloud_prefer_edge,remote_cloud_edges,RemoteCloudPreferEdge,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
remote_cloud_reselect_edge,remote_cloud_edges,RemoteCloudReselectEdge,API_CAPABILITY_REMOTE_CONTROL,access_remote,value,false
